cell_id,tough_label,material,tough_material,generated
0,A11 0,Rocka,ROCKA,False
1,A11 1,Rocka,ROCKA,False
2,A11 2,Rocka,ROCKA,False
3,A11 3,Rocka,ROCKA,False
4,A11 4,Rocka,ROCKA,False
5,A11 5,Rocka,ROCKA,False
6,A11 6,Rocka,ROCKA,False
7,A11 7,Rocka,ROCKA,False
8,A11 8,Rocka,ROCKA,False
9,A11 9,Rocka,ROCKA,False
10,A1110,Rocka,ROCKA,False
11,A1111,Rocka,ROCKA,False
12,A1112,Rocka,ROCKA,False
13,A1113,Rocka,ROCKA,False
14,A1114,Rocka,ROCKA,False
15,A1115,Rocka,ROCKA,False
16,A1116,Rocka,ROCKA,False
17,A1117,Rocka,ROCKA,False
18,A1118,Rocka,ROCKA,False
19,A1119,Rocka,ROCKA,False
20,A1120,Rocka,ROCKA,False
21,A1121,Rocka,ROCKA,False
22,A1122,Rocka,ROCKA,False
23,A1123,Rocka,ROCKA,False
24,A1124,Rocka,ROCKA,False
25,A1125,Rocka,ROCKA,False
26,A1126,Rocka,ROCKA,False
27,A1127,Rocka,ROCKA,False
28,A1128,Rocka,ROCKA,False
29,A1129,Rocka,ROCKA,False
30,A1130,Rocka,ROCKA,False
31,A1131,Rocka,ROCKA,False
32,A1132,Rocka,ROCKA,False
33,A1133,Rocka,ROCKA,False
34,A1134,Rocka,ROCKA,False
35,A1135,Rocka,ROCKA,False
36,A1136,Rocka,ROCKA,False
37,A1137,Rocka,ROCKA,False
38,A1138,Rocka,ROCKA,False
39,A1139,Rocka,ROCKA,False
40,A1140,Rocka,ROCKA,False
41,A1141,Rocka,ROCKA,False
42,A1142,Rocka,ROCKA,False
43,A1143,Rocka,ROCKA,False
44,A1144,Rocka,ROCKA,False
45,A1145,Rocka,ROCKA,False
46,A1146,Rocka,ROCKA,False
47,A1147,Rocka,ROCKA,False
48,A1148,Rocka,ROCKA,False
49,A1149,Rocka,ROCKA,False
50,A1150,Rocka,ROCKA,False
51,A1151,Rocka,ROCKA,False
52,A1152,Rocka,ROCKA,False
53,A1153,Rocka,ROCKA,False
54,A1154,Rocka,ROCKA,False
55,A1155,Rocka,ROCKA,False
56,A1156,Rocka,ROCKA,False
57,A1157,Rocka,ROCKA,False
58,A1158,Rocka,ROCKA,False
59,A1159,Rocka,ROCKA,False
60,A1160,Rocka,ROCKA,False
61,A1161,Rocka,ROCKA,False
62,A1162,Rocka,ROCKA,False
63,A1163,Rocka,ROCKA,False
64,A1164,Rocka,ROCKA,False
65,A1165,Rocka,ROCKA,False
66,A1166,Rocka,ROCKA,False
67,A1167,Rocka,ROCKA,False
68,A1168,Rocka,ROCKA,False
69,A1169,Rocka,ROCKA,False
70,A1170,Rocka,ROCKA,False
71,A1171,Rocka,ROCKA,False
72,A1172,Rocka,ROCKA,False
73,A1173,Rocka,ROCKA,False
74,A1174,Rocka,ROCKA,False
75,A1175,Rocka,ROCKA,False
76,A1176,Rocka,ROCKA,False
77,A1177,Rocka,ROCKA,False
78,A1178,Rocka,ROCKA,False
79,A1179,Rocka,ROCKA,False
80,A1180,Rocka,ROCKA,False
81,A1181,Rocka,ROCKA,False
82,A1182,Rocka,ROCKA,False
83,A1183,Rocka,ROCKA,False
84,A1184,Rocka,ROCKA,False
85,A1185,Rocka,ROCKA,False
86,A1186,Rocka,ROCKA,False
87,A1187,Rocka,ROCKA,False
88,A1188,Rocka,ROCKA,False
89,A1189,Rocka,ROCKA,False
