cell_id,tough_label,material,tough_material,generated
0,A11 0,RockG,ROCKG,False
1,A11 1,RockG,ROCKG,False
2,A11 2,RockG,ROCKG,False
3,A11 3,RockG,ROCKG,False
4,A11 4,RockG,ROCKG,False
5,A11 5,RockG,ROCKG,False
6,A11 6,RockG,ROCKG,False
7,A11 7,RockG,ROCKG,False
8,A11 8,RockG,ROCKG,False
9,A11 9,RockG,ROCKG,False
10,A1110,RockG,ROCKG,False
11,A1111,RockG,ROCKG,False
12,A1112,RockG,ROCKG,False
13,A1113,RockG,ROCKG,False
14,A1114,RockG,ROCKG,False
15,A1115,RockG,ROCKG,False
16,A1116,RockG,ROCKG,False
17,A1117,RockG,ROCKG,False
18,A1118,RockG,ROCKG,False
19,A1119,RockG,ROCKG,False
20,A1120,RockG,ROCKG,False
21,A1121,RockG,ROCKG,False
22,A1122,RockG,ROCKG,False
23,A1123,RockG,ROCKG,False
24,A1124,RockG,ROCKG,False
25,A1125,RockG,ROCKG,False
26,A1126,RockG,ROCKG,False
27,A1127,RockG,ROCKG,False
28,A1128,RockG,ROCKG,False
29,A1129,RockG,ROCKG,False
30,A1130,RockG,ROCKG,False
31,A1131,RockG,ROCKG,False
32,A1132,RockG,ROCKG,False
33,A1133,RockG,ROCKG,False
34,A1134,RockG,ROCKG,False
35,A1135,RockG,ROCKG,False
36,A1136,RockG,ROCKG,False
37,A1137,RockG,ROCKG,False
38,A1138,RockG,ROCKG,False
39,A1139,RockG,ROCKG,False
40,A1140,RockG,ROCKG,False
41,A1141,RockG,ROCKG,False
42,A1142,RockG,ROCKG,False
43,A1143,RockG,ROCKG,False
44,A1144,RockG,ROCKG,False
45,A1145,RockG,ROCKG,False
46,A1146,RockG,ROCKG,False
47,A1147,RockG,ROCKG,False
48,A1148,RockG,ROCKG,False
49,A1149,RockG,ROCKG,False
50,A1150,RockG,ROCKG,False
51,A1151,RockG,ROCKG,False
52,A1152,RockG,ROCKG,False
53,A1153,RockG,ROCKG,False
54,A1154,RockG,ROCKG,False
55,A1155,RockG,ROCKG,False
56,A1156,RockG,ROCKG,False
57,A1157,RockG,ROCKG,False
58,A1158,RockG,ROCKG,False
59,A1159,RockG,ROCKG,False
60,A1160,RockG,ROCKG,False
61,A1161,RockG,ROCKG,False
62,A1162,RockG,ROCKG,False
63,A1163,RockG,ROCKG,False
64,A1164,RockG,ROCKG,False
65,A1165,RockG,ROCKG,False
66,A1166,RockG,ROCKG,False
67,A1167,RockG,ROCKG,False
68,A1168,RockG,ROCKG,False
69,A1169,RockG,ROCKG,False
70,A1170,RockG,ROCKG,False
71,A1171,RockG,ROCKG,False
72,A1172,RockG,ROCKG,False
73,A1173,RockG,ROCKG,False
74,A1174,RockG,ROCKG,False
