time_h,dissolved_CO2_g,free_phase_CO2_g,total_CO2_g
0.0002777777778,3.016661383e-149,0,3.016661383e-149
2,0.2810788694,0.005853619364,0.2869324888
4,0.5677178114,0.02732707285,0.5950448842
5,0.6224054258,0.03862056369,0.6610259895
6,0.4711922475,0.1261386392,0.5973308867
8,0.4007924124,0.1507270549,0.5515194673
10,0.4206098003,0.1454185369,0.5660283372
12,0.4321349585,0.1430694597,0.5752044182
20,0.556841392,0.1465268208,0.7033682128
24,0.5534121391,0.1572486561,0.7106607952
36,0.5530492642,0.1908644487,0.7439137129
40.00008333,0.5569943405,0.2009628019,0.7579571424
48,0.5740624698,0.2198156425,0.7938781123
60,0.6342828282,0.239400817,0.8736836452
72,0.6888871671,0.2635318346,0.9524190017
79.99991667,0.7122930577,0.2832575627,0.9955506205
96,0.7570129413,0.3177616805,1.074774622
100.0000833,0.7696926363,0.3248290867,1.094521723
120,0.8484592085,0.3521247343,1.200583943
