region,time_h,dissolved_g,gas_g,total_g,delta_dissolved_g,delta_total_g,aqueous_density_kg_m3,free_phase_factor
All,0.0002777777778,6.832826971e-10,0,6.832826971e-10,0,0,1000,1
All,2,1.5410888,0.66929918,2.21038798,1.541088799,2.210387979,1028.986208,1.163396334
All,4,4.3798752,1.9754859,6.3553611,2.8387864,4.14497312,1025.207955,1.131506378
All,5,5.7469636,2.8189753,8.5659389,1.3670884,2.2105778,1020.554462,1.094409085
All,6,5.7145411,2.8541663,8.5687074,-0.0324225,0.0027685,1016.212423,1.073594028
All,8,5.669394,2.8993077,8.5687017,-0.0451471,-5.700000003e-06,1012.509509,1.055329644
All,10,5.6964053,2.8722964,8.5687017,0.0270113,1.776356839e-15,1010.523747,1.048134798
All,12,5.7163584,2.8523473,8.5687057,0.0199531,3.999999999e-06,1009.435787,1.044579185
All,20,5.9010291,2.6676374,8.5686665,0.1846707,-3.92e-05,1007.294709,1.036807097
All,24,5.9459717,2.6226968,8.5686685,0.0449426,2e-06,1007.007623,1.040035285
All,36,6.0495975,2.5190524,8.5686499,0.1036258,-1.86e-05,1006.64914,1.036614906
All,40.00008333,6.0936276,2.4750259,8.5686535,0.0440301,3.600000001e-06,1006.540617,1.038087914
All,48,6.1877243,2.3809339,8.5686582,0.0940967,4.699999998e-06,1006.350215,1.041402637
All,60,6.3979426,2.1704741,8.5684167,0.2102183,-0.0002415,1005.923247,1.045195735
All,72,6.6614727,1.9068909,8.5683636,0.2635301,-5.31e-05,1005.516095,1.052696743
All,79.99991667,6.8200753,1.7482907,8.568366,0.1586026,2.4e-06,1005.345796,1.056047424
All,96,7.0964123,1.4719635,8.5683758,0.276337,9.800000001e-06,1005.455686,1.0688927
All,100.0000833,7.1592938,1.4090796,8.5683734,0.0628815,-2.4e-06,1005.47705,1.071955773
All,120,7.4624915,1.1058717,8.5683632,0.3031977,-1.02e-05,1005.698362,1.093832484
BoxA,0.0002777777778,1.843990924e-80,0,1.843990924e-80,0,0,1000,1
BoxA,2,0.758974211,0.4598765767,1.218850788,0.758974211,1.218850788,1028.986208,1.163396334
BoxA,4,1.543712595,1.502556341,3.046268936,0.7847383837,1.827418148,1025.207955,1.131506378
BoxA,5,1.781775989,2.098524079,3.880300068,0.2380633948,0.8340311321,1020.554462,1.094409085
BoxA,6,1.747644509,2.113769716,3.861414225,-0.0341314809,-0.01888584339,1016.212423,1.073594028
BoxA,8,1.72445538,2.119673101,3.844128481,-0.02318912839,-0.01728574335,1012.509509,1.055329644
BoxA,10,1.748245733,2.051095149,3.799340882,0.02379035254,-0.04478759988,1010.523747,1.048134798
BoxA,12,1.759390542,2.022911974,3.782302515,0.01114480879,-0.01703836641,1009.435787,1.044579185
BoxA,20,1.879306772,1.862701388,3.74200816,0.1199162303,-0.04029435497,1007.294709,1.036807097
BoxA,24,1.866685828,1.852757431,3.719443259,-0.01262094386,-0.02256490119,1007.007623,1.040035285
BoxA,36,1.927642878,1.821613697,3.749256575,0.06095705017,0.02981331633,1006.64914,1.036614906
BoxA,40.00008333,1.981887596,1.789816942,3.771704538,0.05424471754,0.0224479628,1006.540617,1.038087914
BoxA,48,2.08914458,1.731545532,3.820690112,0.1072569846,0.04898557419,1006.350215,1.041402637
BoxA,60,2.320694055,1.585065557,3.905759612,0.2315494752,0.0850694997,1005.923247,1.045195735
BoxA,72,2.610361248,1.394036024,4.004397272,0.2896671923,0.09863766018,1005.516095,1.052696743
BoxA,79.99991667,2.775281323,1.292707377,4.0679887,0.1649200756,0.06359142783,1005.345796,1.056047424
BoxA,96,3.062078322,1.101223266,4.163301589,0.286796999,0.09531288883,1005.455686,1.0688927
BoxA,100.0000833,3.131729959,1.049915906,4.181645865,0.06965163661,0.01834427594,1005.47705,1.071955773
BoxA,120,3.483560447,0.7957272553,4.279287702,0.3518304879,0.09764183736,1005.698362,1.093832484
BoxB,0.0002777777778,5.975016395e-207,0,5.975016395e-207,0,0,1000,1
BoxB,2,7.004530667e-15,0,7.004530667e-15,7.004530667e-15,7.004530667e-15,1028.986208,1.163396334
BoxB,4,3.74049726e-08,0,3.74049726e-08,3.740496559e-08,3.740496559e-08,1025.207955,1.131506378
BoxB,5,2.143883513e-06,0,2.143883513e-06,2.10647854e-06,2.10647854e-06,1020.554462,1.094409085
BoxB,6,2.76129168e-05,0,2.76129168e-05,2.546903329e-05,2.546903329e-05,1016.212423,1.073594028
BoxB,8,0.0002197762932,0,0.0002197762932,0.0001921633764,0.0001921633764,1012.509509,1.055329644
BoxB,10,0.0005201273386,0,0.0005201273386,0.0003003510454,0.0003003510454,1010.523747,1.048134798
BoxB,12,0.0007975999023,0,0.0007975999023,0.0002774725637,0.0002774725637,1009.435787,1.044579185
BoxB,20,0.001163834488,0,0.001163834488,0.0003662345859,0.0003662345859,1007.294709,1.036807097
BoxB,24,0.001181620826,0,0.001181620826,1.778633743e-05,1.778633743e-05,1007.007623,1.040035285
BoxB,36,0.00104659955,0,0.00104659955,-0.0001350212753,-0.0001350212753,1006.64914,1.036614906
BoxB,40.00008333,0.0009616911931,0,0.0009616911931,-8.490835722e-05,-8.490835722e-05,1006.540617,1.038087914
BoxB,48,0.0008297303061,0,0.0008297303061,-0.000131960887,-0.000131960887,1006.350215,1.041402637
BoxB,60,0.01295284285,0,0.01295284285,0.01212311254,0.01212311254,1005.923247,1.045195735
BoxB,72,0.06357358909,0,0.06357358909,0.05062074625,0.05062074625,1005.516095,1.052696743
BoxB,79.99991667,0.1066975453,0,0.1066975453,0.04312395625,0.04312395625,1005.345796,1.056047424
BoxB,96,0.1876180811,0,0.1876180811,0.08092053573,0.08092053573,1005.455686,1.0688927
BoxB,100.0000833,0.2054832871,0,0.2054832871,0.01786520607,0.01786520607,1005.47705,1.071955773
BoxB,120,0.2746664604,0,0.2746664604,0.0691831733,0.0691831733,1005.698362,1.093832484
BoxC,0.0002777777778,1.843990857e-80,0,1.843990857e-80,0,0,1000,1
BoxC,2,0.004926643422,0,0.004926643422,0.004926643422,0.004926643422,1028.986208,1.163396334
BoxC,4,0.03505249252,0,0.03505249252,0.0301258491,0.0301258491,1025.207955,1.131506378
BoxC,5,0.1155621507,0,0.1155621507,0.08050965815,0.08050965815,1020.554462,1.094409085
BoxC,6,0.2362584818,0,0.2362584818,0.1206963312,0.1206963312,1016.212423,1.073594028
BoxC,8,0.4684029607,0,0.4684029607,0.2321444788,0.2321444788,1012.509509,1.055329644
BoxC,10,0.6298066898,0,0.6298066898,0.1614037291,0.1614037291,1010.523747,1.048134798
BoxC,12,0.7588515737,0,0.7588515737,0.1290448839,0.1290448839,1009.435787,1.044579185
BoxC,20,0.9686168519,0,0.9686168519,0.2097652782,0.2097652782,1007.294709,1.036807097
BoxC,24,0.9831007732,0,0.9831007732,0.01448392127,0.01448392127,1007.007623,1.040035285
BoxC,36,0.9020112809,0,0.9020112809,-0.08108949227,-0.08108949227,1006.64914,1.036614906
